timestamp,pleth
2020-01-01 12:00:01.240,2324
2020-01-01 12:00:01.248,2254
2020-01-01 12:00:01.256,2191
2020-01-01 12:00:01.264,2128
2020-01-01 12:00:01.272,2068
2020-01-01 12:00:01.280,2014
2020-01-01 12:00:01.288,1967
2020-01-01 12:00:01.296,1926
2020-01-01 12:00:01.304,1891
2020-01-01 12:00:01.312,1861
2020-01-01 12:00:01.320,1837
2020-01-01 12:00:01.328,1817
2020-01-01 12:00:01.336,1797
2020-01-01 12:00:01.344,1776
2020-01-01 12:00:01.352,1758
2020-01-01 12:00:01.360,1740
2020-01-01 12:00:01.368,1718
2020-01-01 12:00:01.376,1693
2020-01-01 12:00:01.384,1666
2020-01-01 12:00:01.392,1639
2020-01-01 12:00:01.400,1612
2020-01-01 12:00:01.408,1587
2020-01-01 12:00:01.416,1562
2020-01-01 12:00:01.424,1537
2020-01-01 12:00:01.432,1510
2020-01-01 12:00:01.440,1483
2020-01-01 12:00:01.448,1463
2020-01-01 12:00:01.456,1445
2020-01-01 12:00:01.464,1424
2020-01-01 12:00:01.472,1403
2020-01-01 12:00:01.480,1383
2020-01-01 12:00:01.488,1363
2020-01-01 12:00:01.496,1344
2020-01-01 12:00:01.504,1326
2020-01-01 12:00:01.512,1309
2020-01-01 12:00:01.520,1294
2020-01-01 12:00:01.528,1281
2020-01-01 12:00:01.536,1273
2020-01-01 12:00:01.544,1272
2020-01-01 12:00:01.552,1281
2020-01-01 12:00:01.560,1304
2020-01-01 12:00:01.568,1343
2020-01-01 12:00:01.576,1402
2020-01-01 12:00:01.584,1482
2020-01-01 12:00:01.592,1581
2020-01-01 12:00:01.600,1694
2020-01-01 12:00:01.608,1816
2020-01-01 12:00:01.616,1941
2020-01-01 12:00:01.624,2066
2020-01-01 12:00:01.632,2185
2020-01-01 12:00:01.640,2293
2020-01-01 12:00:01.648,2377
2020-01-01 12:00:01.656,2446
2020-01-01 12:00:01.664,2513
2020-01-01 12:00:01.672,2572
2020-01-01 12:00:01.680,2620
2020-01-01 12:00:01.688,2655
2020-01-01 12:00:01.696,2677
2020-01-01 12:00:01.704,2688
2020-01-01 12:00:01.712,2689
2020-01-01 12:00:01.720,2681
2020-01-01 12:00:01.728,2663
2020-01-01 12:00:01.736,2636
2020-01-01 12:00:01.744,2603
2020-01-01 12:00:01.752,2564
2020-01-01 12:00:01.760,2514
2020-01-01 12:00:01.768,2454
2020-01-01 12:00:01.776,2385
2020-01-01 12:00:01.784,2309
2020-01-01 12:00:01.792,2229
2020-01-01 12:00:01.800,2149
2020-01-01 12:00:01.808,2072
2020-01-01 12:00:01.816,1999
2020-01-01 12:00:01.824,1932
2020-01-01 12:00:01.832,1874
2020-01-01 12:00:01.840,1824
2020-01-01 12:00:01.848,1785
2020-01-01 12:00:01.856,1753
